"name_a","name_b","normalized_a","normalized_b","similarity"
"Kopa Magury","Kopa Kondracka","kopa magury","kopa kondracka","0,333"
"Kežmarský štít","Kežmarský glacier","kezmarsky stit","kezmarsky glacier","0,333"
"Wielki Wołoszyn","Wielki Mięguszowiecki Szczyt","wielki wo oszyn","wielki mieguszowiecki szczyt","0,25"
"Żabi Szczyt Wyżni","Žabí glacier","zabi szczyt wyzni","zabi glacier","0,25"
"Wielki Kopieniec","Wielki Mięguszowiecki Szczyt","wielki kopieniec","wielki mieguszowiecki szczyt","0,25"
"Tomanowy Wierch Polski","Tomanowy glacier","tomanowy wierch polski","tomanowy glacier","0,25"
"Miętusia Dol. Glacier","Miętusi glacier","mietusia dol glacier","mietusi glacier","0,25"
"Hlboká dolina glacier","Hlboký glacier","hlboka dolina glacier","hlboky glacier","0,25"
"Velický glacier","Velická dolina Glacier","velicky glacier","velicka dolina glacier","0,25"
"Żabi Koń","Żabi Szczyt Wyżni","zabi kon","zabi szczyt wyzni","0,25"
"Dolina&nbsp;Bystrej Glacier","Dolina Białki","dolina nbsp bystrej glacier","dolina bia ki","0,2"
"Hrubá kopa","Hrubá veža 2086 - nunatak","hruba kopa","hruba veza 2086 nunatak","0,2"
"Hrubá kopa","Hrubá veža 2083 - nunatak","hruba kopa","hruba veza 2083 nunatak","0,2"
"Dolina&nbsp;Bystrej Glacier","Dolina Filipka","dolina nbsp bystrej glacier","dolina filipka","0,2"
"Dolina Kościeliska","Dolina&nbsp;Bystrej Glacier","dolina koscieliska","dolina nbsp bystrej glacier","0,2"
"Hrubá kopa","Hrubá veža 2428 - nunatak","hruba kopa","hruba veza 2428 nunatak","0,2"
"Wielka Koszysta","Wielki Mięguszowiecki Szczyt","wielka koszysta","wielki mieguszowiecki szczyt","0"
"Waksmundzka Przełęcz","Waksmundzki glacier","waksmundzka prze ecz","waksmundzki glacier","0"
"Kôprová dolina","Kôprovský glacier","koprova dolina","koprovsky glacier","0"
"Wielka Koszysta","Wielki Wołoszyn","wielka koszysta","wielki wo oszyn","0"
"Wielka Koszysta","Wielki Kopieniec","wielka koszysta","wielki kopieniec","0"
"Hlinský glacier","Hlinská veža","hlinsky glacier","hlinska veza","0"
"Bobrovecký glacier","Bobrowiec","bobrovecky glacier","bobrowiec","0"
"Kôprová dolina","Kôprovský štít","koprova dolina","koprovsky stit","0"
"Roztocka Turniczka","Roztoki glacier","roztocka turniczka","roztoki glacier","0"
"Tatra Mountains during the Last Glacial Maximum","TATRANSKÁ LOMNICA","tatra mountains during the last glacial maximum","tatranska lomnica","0"
"Tatra Mountains during the Last Glacial Maximum","Tatranska Javorina","tatra mountains during the last glacial maximum","tatranska javorina","0"
"Bystrá","Bystrej glacier","bystra","bystrej glacier","0"
"Bystrý glacier","Bystrá","bystry glacier","bystra","0"
"Batizovský štít","Batizovská dolina","batizovsky stit","batizovska dolina","0"
"Kežmarský štít","Kežmarski glacier","kezmarsky stit","kezmarski glacier","0"
"Baranie rohy","Baranec","baranie rohy","baranec","0"
"Plačlivé","Plačlivô","placlive","placlivo","0"
"Bielovodský glacier","Bielovodská veža","bielovodsky glacier","bielovodska veza","0"
"Kościeliska valley","Kościeliski glacier","koscieliska valley","koscieliski glacier","0"
"Roztocka Czuba","Roztoki glacier","roztocka czuba","roztoki glacier","0"
"Jalovecká dolina","Jalovecký glacier","jalovecka dolina","jalovecky glacier","0"
"Roztoka glacier","Roztocka Turniczka","roztoka glacier","roztocka turniczka","0"
"Kościelec","Kościeliski glacier","koscielec","koscieliski glacier","0"
"Kościelec","Kościeliska valley","koscielec","koscieliska valley","0"
"Roztocka Czuba","Roztoka glacier","roztocka czuba","roztoka glacier","0"
"Roháčsky glacier","Roháče","rohacsky glacier","rohace","0"
